MinTemp,MaxTemp,Sunshine,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
8,24.3,6.3,68,29,7,7,14.4,23.6,0
14,26.9,9.7,80,36,5,3,17.5,25.7,1
13.7,23.4,3.3,82,69,8,7,15.4,20.2,1
13.3,15.5,9.1,62,56,2,7,13.5,14.1,1
7.6,16.1,10.6,68,49,7,7,11.1,15.4,1
6.2,16.9,8.2,70,57,7,5,10.9,14.8,0
6.1,18.2,8.4,63,47,4,6,12.4,17.3,0
8.3,17,4.6,65,57,6,7,12.1,15.5,0
8.8,19.5,4.1,70,48,7,7,14.1,18.9,0
8.4,22.8,7.7,82,32,7,1,13.3,21.7,1
9.1,25.2,11.9,74,34,1,2,14.6,24,0
8.5,27.3,12.5,54,35,0,3,16.8,26,0
10.1,27.9,13,62,29,0,1,17,27.1,0
12.1,30.9,12.4,67,20,1,4,19.7,30.7,0
10.1,31.2,13.1,45,16,0,1,18.7,30.4,0
12.4,32.1,11.1,70,22,0,3,19.1,30.7,0
13.8,31.2,8.4,72,23,7,6,20.2,29.8,0
11.7,30,10.1,59,26,1,5,20.1,28.6,1
12.4,32.3,13,60,25,1,3,20.2,31.2,0
15.6,33.4,10.4,61,27,0,1,22.8,32,0
15.3,33.4,9.5,60,26,1,5,22.2,32.8,0
16.4,19.4,0,88,72,8,8,16.5,18.3,0
12.8,18.5,0.6,91,79,8,8,14,16.8,1
12,24.3,7.5,74,57,7,5,17.8,22.8,0
15.4,28.4,8.1,85,31,8,2,16.8,27.3,0
15.6,26.9,8.9,65,48,2,4,19.8,25.1,0
13.3,22.2,2.3,70,55,7,7,16.5,21.2,0
12.9,28,10.7,61,31,5,7,18.8,26.7,0
15.1,24.3,0.4,69,80,7,7,18.9,19.7,0
13.6,24.1,0.5,83,49,8,7,17.3,23.2,0
15.1,20.4,0.2,82,90,8,8,17,16.3,1
11.6,26.3,12,66,46,2,2,16.7,25.2,1
16.6,24.2,4.7,72,60,7,7,20.5,19.9,0
13.3,26.5,11.8,74,40,5,2,18.8,25.1,1
14.5,21.8,9.8,69,63,7,1,18.6,20.5,0
16.3,26.8,6.3,78,54,8,7,18.6,24.5,0
17.2,25.8,8.8,70,74,6,7,21.5,22.6,0
16.5,28.2,8.8,76,42,8,1,18,26.3,1
15,29.4,11.1,78,24,7,7,20.6,28.6,0
14.9,24.8,10,58,37,7,7,19.3,22.9,0
11.8,18.5,2.3,60,63,8,6,13.8,16.4,0
11.7,21.5,7.3,66,51,7,5,15.7,19.4,0
9.6,20.3,3.6,70,49,7,7,15.8,19.2,0
8.9,27.1,12.7,63,37,1,2,15.8,25,0
10.1,29.9,8.8,63,36,1,8,17.4,29.1,0
15.5,21.1,0.9,93,86,8,8,16.6,20,1
10.8,21.7,10.6,59,40,1,4,15.3,20.8,1
7.5,20.9,8.7,61,43,6,7,15.3,19.8,0
12.8,21,0.8,72,54,8,8,16.1,20,0
12.6,23.1,2.3,97,74,8,7,15.3,20.4,1
14.8,29.5,8.1,81,48,2,7,21,28.2,1
19.9,22,5.9,92,62,8,3,20.6,19.6,1
9.2,20.4,10.2,59,49,1,7,14.9,18.8,1
12.4,24.4,12.1,69,43,6,4,15,22.5,0
11.3,21.7,5.6,67,52,8,3,12.4,21,1
9.8,26.3,13,63,35,1,1,15.3,23.9,0
14.3,26.7,7.1,68,64,7,7,19.8,19,0
15.1,28.3,13.2,73,44,1,5,18.3,27.4,1
14.4,31.6,13.6,65,30,0,2,21.5,30.3,0
15.4,35,13,55,18,1,1,23.4,34.3,0
13.8,33.5,13.6,44,20,0,1,21.9,32.2,0
13.6,34.2,12.8,50,20,7,6,21.9,31.8,0
14.3,35,10.5,43,14,0,1,23,33.6,0
15.9,23.4,2.2,69,55,8,7,19.2,22.3,0
16.7,25.3,12.5,56,45,6,7,20.3,23.9,0
12.1,27.5,11.7,69,40,7,2,18.6,26.8,0
14.3,34.1,10.5,77,34,1,1,18.9,31.9,0
16.5,33.9,12.6,60,36,1,1,20.8,31.3,0
16.5,30.3,8.1,77,44,7,1,18.1,28,0
17.5,29.9,8.8,74,45,8,1,19.3,27.9,0
14.7,34.2,12.8,64,25,1,1,21.3,32.2,0
17.5,35.8,13.3,56,24,0,1,24.7,34.5,0
20.9,35.7,6.9,61,28,7,2,23.6,34,0
17,33.8,13.5,65,35,2,3,23,31.8,1
16,22.8,6,70,57,8,6,17,21.6,0
15.4,33.8,11.1,70,26,7,1,18,31.7,0
17.9,33.2,8.4,58,62,6,7,24.5,23.5,0
15.2,25.1,11.6,62,42,1,1,17.1,23.9,1
15.1,20.4,0.1,63,55,8,8,17.8,19.4,0
15.3,19.6,0,92,88,8,8,18,18.6,1
17.2,24.7,8.1,80,71,7,8,19.4,21.9,1
15.9,19.9,1.6,73,58,8,7,17.4,18.6,0
10,22.5,11.6,55,46,1,2,14.7,22.2,0
9.9,24.4,10.8,60,38,1,4,16.2,22.7,0
10.3,27.8,9.9,64,29,3,6,17,26.3,0
15.4,25.7,8.2,67,32,7,7,17.6,24.6,0
12.7,28.8,9,70,28,1,5,18.3,28.3,0
13.2,31.3,11.6,71,28,1,4,19.7,30.7,0
15.3,33.2,13.2,60,18,0,1,22.4,32.1,0
17.9,33.9,11.8,72,22,1,1,19.8,32.3,0
18,34.9,9.9,68,29,1,6,22.2,33.1,0
17.6,27.8,3.6,66,49,7,8,21.4,26.3,1
16,23.8,6.2,73,49,8,7,16.5,22.9,1
14.9,28.8,8.1,71,44,7,2,19.1,27,0
17.1,29.6,9.2,67,38,6,7,21.7,29.1,0
18.2,22.6,0,92,76,8,8,18.5,22.1,1
16.8,22.8,0.3,88,71,8,8,18.4,21.5,1
13.6,27.4,8,77,41,4,7,18.7,26.5,0
14.5,24.2,5.9,76,76,7,7,17.9,20.3,0
12.4,19.9,5.6,75,58,7,7,13.6,18.7,1
10.4,20.9,8.9,65,51,6,6,13.8,18.7,0
9.1,23.1,9.6,66,37,1,7,14,21.4,0
8.9,26,10.7,74,34,1,5,14.6,24.2,0
14.5,24.2,5.9,95,60,8,5,15.8,22.6,1
12.6,18.2,0.4,81,73,7,8,16.3,16.8,1
8.6,24.2,12.7,63,37,1,1,13.7,22,0
10.8,25.2,12.6,69,32,1,1,15,24.3,0
11.2,26.1,12.6,71,40,1,1,15.3,24.7,0
12.1,24.1,10.2,64,46,7,1,15.4,22.5,0
10.8,25.8,11.7,72,42,5,4,17.2,24.1,0
11.4,27.1,12.1,69,38,1,2,16.9,26.1,0
12,28.9,8.2,78,31,2,7,17.4,28.6,0
16.3,24.8,3.8,88,56,7,7,17.5,24,1
12.7,28.6,8.6,78,42,5,5,16.5,27.4,1
12.7,25.1,12.4,57,32,1,1,15.7,24.5,0
12,23.8,12.4,54,34,0,1,15.1,22.9,0
11.5,25.9,10.2,70,35,6,2,15.8,24.3,0
13,28.2,11.6,74,27,3,6,17.4,27,0
11.7,27.6,8.1,74,25,2,6,17.6,26.8,0
14.8,17.3,0.8,74,78,7,7,15.7,15.3,0
7.7,18.4,12,58,34,5,1,10.6,16.8,1
4.4,21.8,12.1,60,31,1,1,11.7,20,0
7.4,24.4,11.6,65,37,0,2,12.2,22.1,0
8.3,27.3,10.1,78,28,1,1,13.8,25.5,0
10.1,28.2,7.3,72,28,1,7,15.6,27,0
12,27.6,11,69,35,1,1,15.7,26.2,0
12.9,31.8,11.3,76,24,2,3,17.4,30,0
10.8,29.2,7.5,56,34,0,7,17.5,27.7,0
9.5,27.4,11.5,79,39,1,7,14,24.9,1
12.1,27.8,11.5,66,33,0,1,17.8,27,0
12.5,31.7,11.2,74,28,1,1,17.2,30.1,0
13.9,34.7,8.5,50,18,0,3,20.2,32.7,0
13.3,31.7,11,80,23,2,5,17.5,30.7,0
13.2,33.1,9.7,91,18,7,1,16.1,31.7,0
12.3,33.8,11.3,57,15,0,1,17.9,32.7,0
13.8,35.2,11.2,47,15,5,2,21.4,34.1,0
11.3,32.3,11.4,44,17,5,2,18.2,30.5,0
11.7,30.2,11.2,73,22,1,0,17.7,28.8,0
12.5,29.9,10.7,76,30,0,1,16.8,29.2,0
15.1,26.2,9.8,59,48,1,4,19.7,24.5,0
11.5,29.3,8,76,35,7,7,17.1,27.6,0
13,14.8,0,77,62,7,8,13.3,13.9,0
11.6,19.6,1.6,71,64,7,8,14,17.9,0
12.8,24.9,6.2,76,44,7,6,15.5,24.2,0
15.5,22.4,1.9,89,68,8,7,17.1,21.1,0
13.1,17.4,0,94,93,8,8,16.4,16.6,1
12.6,20.2,9.1,76,50,5,4,15.1,17.4,1
4.4,18.3,9.6,80,36,1,2,8.4,17.4,0
4.4,18.2,11,78,35,1,3,9.2,17.2,0
7.1,18.5,10,90,30,6,6,8.8,18.2,0
4.2,18.9,10.8,60,34,3,2,11.2,18.1,0
9.6,18.8,10,54,42,2,5,13.1,16.5,0
3.5,21.8,10.3,72,34,0,1,8.7,21.2,0
5.3,23.3,5.6,90,26,1,8,9.5,22.5,0
7,14.3,9.7,68,40,1,3,9.1,13.7,1
0.4,18.9,9.6,77,33,0,1,5.2,17.6,0
3.2,21.4,10.6,76,27,0,1,8.2,20.5,0
5.9,21.8,9.3,70,35,1,5,12.9,20.8,0
8.1,20.5,7.8,66,48,1,5,14.9,19.5,0
6.9,18.9,4.1,68,45,5,4,13.8,17.8,0
5.6,19.5,6.8,69,49,6,4,14.3,18.6,0
7.2,22.9,9.5,82,28,1,1,14,22.2,0
7.1,23.4,10.2,72,29,0,1,12.7,22.4,0
6.1,24.1,6.1,75,32,7,3,11.5,23.7,0
7.1,19.8,7.7,96,56,5,2,10.7,19.1,1
5.6,18,9.3,70,40,1,1,12.4,17.9,1
5.4,20.7,10.8,66,36,1,2,12.3,20.4,0
6.3,19.3,10.6,65,39,1,1,12.6,18.8,0
5.3,21,6.3,77,44,7,2,12,20.4,0
7.9,19.7,8.3,58,43,3,6,14,19.1,0
8.4,16.1,4.9,69,51,6,7,13.6,15.2,0
8.1,18.7,7.1,66,65,4,7,13.5,15.6,0
2.4,20.6,10.1,77,34,1,2,10.6,19.8,0
5.6,18.9,8,79,49,7,6,12.5,17.7,0
7.5,19,6.8,74,43,6,5,12.6,18.1,0
2.5,21.2,7.9,82,55,4,4,9.2,17.6,0
5,20.9,8.9,84,42,7,6,10.1,20.6,0
3.8,21.7,6.5,99,34,7,7,7.9,20.2,0
7.9,18.7,5.8,68,51,6,6,14.4,16.6,0
4.3,11.3,5.6,75,60,3,6,7.1,8.8,1
-2.1,13.8,9.5,69,40,0,1,6.3,13.2,0
-1.8,14.8,7,80,40,1,7,5.3,13.9,0
3.8,13.8,0.8,67,54,7,7,10.5,12.4,0
2.1,17.3,9.2,81,38,1,2,8.7,15.9,0
0.5,17.1,9.4,74,42,1,1,7.4,16.2,0
-0.9,16.7,9.3,76,42,5,2,6.2,15.4,0
0.4,19,8.3,76,41,6,5,7.7,18.5,0
7.5,16.8,3,70,53,7,7,12.5,15.4,0
8.3,17.6,9.4,73,43,1,1,12.4,16.5,0
-0.2,18.1,9.4,80,44,1,1,6.7,16.9,0
0.1,21,9.2,78,36,0,1,7.6,20.7,0
1.5,20.9,9.3,80,41,1,1,8.4,20.9,0
8.3,17.4,1.6,80,52,7,7,13.5,17.2,0
9.4,19.2,7.7,73,47,7,1,12.1,18.8,0
1.3,19,9.4,87,34,1,2,7.9,18.6,0
2.2,18.6,9.2,84,44,1,3,8.5,17.8,0
-0.4,17.9,8.7,80,40,1,2,6.8,17.7,0
4.5,16,4.3,88,69,7,7,10,15.2,1
7.9,12.3,1.7,68,78,7,7,11.3,7.3,0
4.3,14.1,8.8,71,53,6,6,7.9,13.3,0
-2.7,18.1,9.3,85,36,1,1,3.5,16.7,0
0.3,17,5.6,99,52,8,1,3.8,16.2,0
3.8,17.4,7.3,81,47,6,2,8,16.6,0
2.4,14.7,9.2,74,43,1,1,5.9,13.8,0
1.2,14.8,6.7,81,49,7,1,5.3,14.5,0
1.2,14.5,8.9,74,43,0,1,6.5,13.9,0
-0.3,17.5,8.4,81,48,1,5,6.2,17.2,0
4.7,18.5,5.1,99,50,7,4,7,17.9,1
4.9,18.1,8.5,93,55,1,1,8.9,17.7,1
1.4,16.8,8.2,91,50,1,4,6.2,16.3,0
2.2,17.5,8.5,92,45,2,1,5.5,17.3,0
-0.1,18,8.6,83,46,1,1,5.6,17.4,0
-0.9,18.5,8.9,84,38,2,3,4.7,18.2,0
0.6,14,2.7,99,67,7,7,4.6,13.9,0
4.6,15.7,0.6,85,67,7,7,9.9,15.5,0
9.8,14.4,0,99,86,8,8,12.1,13.6,0
10.6,15.1,2.6,78,65,8,7,11.5,13.3,1
7.8,15.1,2.7,84,65,6,7,10.3,14.8,0
4.4,16.7,9,74,42,1,1,9.6,16.2,0
-0.2,15.5,9,86,42,1,1,4.9,14.5,0
4.3,14.5,3,76,70,7,7,7.9,13,0
7.4,16.3,,75,65,7,7,12.1,14.5,0
8.6,13.7,0,97,94,8,8,10.3,11.6,1
10.2,15,0.5,90,65,7,7,12.9,13.7,1
7.3,16.4,8.5,86,48,1,1,11.2,14.7,0
8.7,13,7.1,82,58,4,2,8.8,11.1,0
1,11.8,7.2,73,49,4,1,6.5,11,0
2.1,14.7,8.2,72,57,1,2,9,13.8,0
6.4,16.9,5.9,78,51,7,2,9.5,16,0
5.4,15.5,5.8,80,58,7,1,9.4,14.9,0
0.4,15.5,4.7,97,70,5,7,4,15,0
4,15.9,2,95,63,8,7,8.4,14.8,0
8.4,11.7,0,91,86,8,7,9.7,11.3,1
0.4,13.9,7.7,99,59,3,6,4.2,12.1,0
4.2,14,7.6,74,44,5,4,8.8,12.5,0
0.9,12.9,6.8,92,53,7,7,5.5,12.3,0
0.8,13,4.1,95,69,8,6,4.3,11.7,0
4.3,12.6,9,75,54,3,1,7.8,11.3,0
6.3,11.8,6.5,81,48,6,1,7,11.5,0
3.5,14.3,8.9,71,51,1,1,6.7,12.7,0
-1.5,14.8,8,90,41,4,3,2.1,14.5,0
1.2,16,6.1,84,38,7,6,6.5,14.6,0
0.5,15.4,6.4,53,68,1,7,9.7,12.9,0
5.3,11.7,5.6,73,56,3,1,6.9,11.1,1
6.6,13.1,8.2,62,53,5,1,10.6,12.3,0
-1.6,11.5,8.9,82,53,1,1,3,11.1,0
-3.1,12,3.9,80,52,1,6,5.9,10.2,0
-0.1,14.2,7,81,55,1,2,4.7,12.6,0
-0.6,14,7.1,86,59,5,5,3.7,13.6,0
3,11.1,0.2,99,96,7,8,6.3,8.6,0
2.9,9.5,6.5,93,72,6,6,5.5,7.4,1
-1.3,8.8,2.8,95,68,7,6,1.8,8,0
1.8,8.7,1.2,83,85,7,7,6,6.9,0
2.9,8.4,7.7,76,66,7,3,5.5,7.1,1
-2.6,11.1,6.5,87,54,1,7,0.8,9.9,0
0.5,11,0.9,92,69,7,7,2.8,10.7,0
2.7,16.5,8.9,93,51,5,1,6.7,15.9,0
-1.7,13.6,5.2,83,46,1,7,3.9,13.3,0
-0.9,12.8,1.9,99,62,7,7,2.7,12.1,0
-1.8,11.5,4.7,99,55,7,3,1.3,11,0
1.3,10.6,5.6,75,73,3,5,7.7,8.2,0
2.4,11.6,8.1,71,48,1,3,6,10.7,1
-1.1,11,0,92,87,7,8,2.4,8.7,0
2.3,11.6,7.5,78,56,7,3,7.6,11.2,1
-2.2,11.6,9.2,68,33,1,1,3.4,11,0
-3.5,11.2,7.7,76,48,1,5,3.6,10.1,0
-1,12.2,8.4,82,51,3,5,3.7,10.8,0
-2.1,12.9,8.1,92,25,2,1,1.4,12.3,0
-2,11.3,5.9,88,50,7,7,1.2,10.9,0
-2.3,9.7,1.9,92,66,7,7,1,7.8,0
-1.6,10.7,9.1,74,56,2,4,5.6,9.6,1
0.8,12.2,8.6,69,49,3,1,6.5,11.2,0
-2.8,12.2,8.7,84,48,1,1,2.7,11.5,0
-2.8,14.1,6.8,81,38,1,7,3,12.8,0
3,9.7,0.7,64,82,8,7,9.6,8.6,0
4.4,11.5,9.3,67,56,1,1,6.9,10.5,1
2.3,12.8,9.6,70,48,1,1,7.8,11.6,0
-2,12.3,5.8,81,60,1,7,2.6,9.1,0
-1.9,10.9,4.2,78,72,3,8,5.5,7.2,0
4.8,14.1,8.3,67,48,5,1,8.9,13.6,1
-0.6,11.1,5,89,78,7,7,3.8,5.7,0
3.1,12.5,7.2,69,62,6,2,7.6,11.3,1
-2.9,9.6,7.3,76,70,1,6,5.6,8.1,0
-3.5,7.6,4.7,92,68,8,6,3.3,5.1,0
-0.3,9.3,9.9,72,60,1,1,4.7,8.3,0
0.1,10.4,7.9,69,63,1,6,7,8.6,0
2.3,12.2,9.8,58,41,1,1,6.5,10.4,0
2.1,10.7,9.4,59,45,1,1,6.2,9.5,0
4.6,14.7,8.4,54,51,1,3,9.2,12,0
3.7,14.2,10,52,27,1,1,8.7,13.5,0
-1.3,11.6,10.4,59,35,0,1,4.5,10.8,0
-3.4,12.5,6.8,89,30,6,7,1.4,11.2,0
-5.3,13.1,7.9,94,47,6,6,0.1,12.2,0
0,14,4.7,60,36,7,7,7.9,12.4,0
2.4,14.1,1.8,50,27,8,8,8.6,13.2,0
-0.6,12.2,7,66,44,8,5,6.9,10.7,0
2.3,11.6,9.5,49,38,1,1,6.7,11.1,0
-3.7,14.4,10.4,64,28,0,0,5.2,14,0
-0.9,14.2,7.8,82,34,7,6,5.3,12.8,0
-1.5,17.3,9,77,23,5,7,4.8,15.8,0
-3.3,15.1,,57,23,1,1,7.9,14.4,0
-0.1,14.7,9.9,60,43,1,5,7.2,12.3,0
-0.2,16.2,5.9,74,45,7,6,7.3,14.6,0
0.5,16.3,4.1,81,45,7,8,6.2,15.4,0
6.1,17.2,2.4,89,85,7,7,13.5,12.6,1
4.1,14.8,10.8,60,34,1,1,8.8,14.3,1
0.1,16.7,10.2,69,44,1,4,9,14.9,0
3.2,12.1,3.9,69,51,7,5,9.3,11.1,0
5.4,11.3,0.6,65,61,7,7,8.3,10.2,0
5.8,12.4,0,79,73,8,8,8.7,10.8,0
6.3,16.1,2.9,63,33,7,7,10,15.7,0
-0.9,16.7,8.6,84,33,7,7,6.4,15.5,0
0.2,15.5,9.4,79,37,1,1,7.2,15.3,0
-3.7,14.7,10.9,53,25,0,0,5.5,13.4,0
-2.7,15.2,9.7,62,35,1,2,6.3,14.9,0
-2.5,16.6,9.9,68,20,1,1,6,16.3,0
-0.5,21.6,9.9,44,27,7,5,11.9,21.5,0
9,25.5,10.2,47,31,3,1,17.5,25.1,0
13.1,19.4,6,71,43,7,1,16.7,18.2,1
8.7,19.7,8,63,33,3,6,15.6,18.5,1
3.9,13.2,11,53,33,3,1,7.1,12.2,1
0.7,14.1,9,69,43,7,1,7.4,13.7,0
1.1,18,8.6,82,36,4,1,7,17.8,0
5.1,23.3,10.3,54,30,1,1,16.4,22.4,0
7.5,23.3,10.9,46,15,1,0,18.3,21.3,0
4.7,19.5,11,42,25,1,0,14.5,18.3,0
3.2,21.9,5.2,51,50,1,8,15.9,21,0
7.8,16.2,7.9,73,44,7,1,8,14.3,1
2.4,17.3,11.3,67,33,1,1,10.7,16.5,0
3.2,18.7,11.1,70,32,1,1,11,18.1,0
2.5,20.9,10.6,48,35,2,6,15.4,20,0
6.5,25.7,10.5,62,25,5,1,15.9,24.7,0
14.4,24.3,11.1,36,25,1,1,20.4,23,0
4.9,18.9,9.4,41,32,2,7,14.9,16,0
2.3,16.8,11.4,52,34,2,1,9.8,16.3,0
1.4,20.6,11.1,56,16,5,1,11.3,19.5,0
5.6,27.6,11,44,21,0,0,19,26.7,0
16.8,28.9,10.8,44,22,1,1,22.5,28.4,0
14.4,20.7,4.9,94,65,8,4,14.5,19.3,1
10.3,21.3,6.7,79,46,8,1,11.7,19.8,1
11.2,18,8.4,65,40,5,4,12.8,16.2,0
0.3,16,11.8,68,45,1,1,6.9,14.6,1
0.5,17.9,11.5,72,33,0,1,7.2,16.6,0
0.5,20,11.5,69,22,0,1,8.1,18.8,0
4.6,22,11,82,25,1,2,10,21.4,0
8.2,22.4,11.2,70,30,1,3,13.6,20.6,0
4.5,23.9,11.7,67,27,0,4,12.6,22.3,0
6.7,26.1,7.5,56,47,4,7,16.3,23.2,0
11.9,21.1,,82,61,7,3,14.5,19.4,1
9.2,19.6,10.4,71,42,7,4,11.6,18.4,0
4.4,21,12.2,73,30,1,1,9.6,19.2,0
5,24.1,12,73,34,6,1,11.6,21.9,0
6.7,24.7,8.6,80,31,1,7,12.7,23.7,0
8.3,28.5,9.8,66,30,1,6,16.8,27.4,0
11.3,27.4,12.1,60,20,1,1,16.4,26.3,0
9,20.6,6.2,54,28,7,5,11.4,18.5,0
3.4,15,11.7,43,24,1,5,8.3,14.3,0
3.2,18,12.2,47,25,1,2,9.1,16.3,0
0.9,20.7,8.4,71,29,3,8,9.4,19.1,0
3.3,25.5,10.8,57,16,0,3,12,24.8,0
7.9,26.1,3.5,45,20,5,8,16.3,25.9,0
9,30.7,12.1,38,15,1,3,20.4,30,0
7.1,28.4,12.7,45,22,0,1,17.2,28.2,0
12.5,19.9,5.3,63,47,3,2,14.5,18.3,0
12.5,26.9,7.1,69,39,6,7,15.8,25.9,0
12.3,30.2,12.6,43,13,1,1,23.8,28.6,0
